P. Name,P. Mass Class,P. Habitable Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Surf Press (EU),P. Period (days),P. Sem Major Axis (AU),P. Mean Distance (AU),S. Name,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. Age (Gyrs),S. Distance (pc),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. ESI,P. Habitable,P. Hab Moon
Kepler-1115 b,Superterran,non-habitable,5.54,1.7,1.12,1.91,1.8,1134.1,1134.1,1134.1,6.2,23.55,0.188,0.19,Kepler-1115,Cygnus,A,1.6,1.73,8480,13.885627,1.12,935,1,0,2.584,5.955,0.27,0,0
Kepler-1116 b,Superterran,non-habitable,3.1,2.54,0.19,0.48,1.11,498.8,498.8,498.8,0.6,41.7,0.2313,0.23,Kepler-1116,Cygnus,G,0.95,0.93,5641,0.785742,4.9,1017,1,0,0.671,1.586,0.31,0,0
Kepler-1117 b,Terran,non-habitable,1.23,1.11,0.9,1,1.05,1020.7,1020.7,1020.7,1.1,4.79,0.0547,0.05,Kepler-1117,Cygnus,G,0.95,0.93,5612,0.769709,4.27,619,1,0,0.665,1.574,0.3,0,0
Kepler-1118 b,Neptunian,non-habitable,3.92,2.73,0.19,0.52,1.2,525.8,525.8,525.8,0.8,38.67,0.2207,0.22,Kepler-1118,Cygnus,G,0.96,0.97,5688,0.883633,4.07,818,1,0,0.709,1.675,0.29,0,0
Kepler-1119 b,Superterran,non-habitable,8.68,1.92,1.24,2.37,2.13,1005.7,1005.7,1005.7,10.7,8.33,0.0832,0.08,Kepler-1119,Cygnus,F,1.11,1.17,6083,1.681639,3.09,1288,1,0,0.955,2.234,0.26,0,0
Kepler-1120 b,Terran,non-habitable,2.58,1.38,0.99,1.36,1.37,966.5,966.5,966.5,2.5,2.95,0.037,0.04,Kepler-1120,Lyra,K,0.78,0.74,4904,0.284155,4.68,635,1,0,0.419,1.018,0.29,0,0
Kepler-1121 b,Superterran,non-habitable,8.48,1.9,1.23,2.34,2.11,1005.6,1005.6,1005.6,10.4,13.15,0.1187,0.12,Kepler-1121,Cygnus,F,1.29,1.59,6231,3.419126,3.02,529,1,0,1.35,3.148,0.26,0,0
Kepler-1122 b,Superterran,non-habitable,11.12,2.04,1.31,2.68,2.34,480.2,480.2,480.2,14.6,42.19,0.2306,0.23,Kepler-1122,Lyra,G,0.92,0.89,5544,0.671371,4.68,924,1,0,0.623,1.479,0.35,0,0
Kepler-1123 b,Superterran,non-habitable,5.14,1.67,1.11,1.85,1.76,1020.6,1020.6,1020.6,5.7,4.34,0.0508,0.05,Kepler-1123,Cygnus,G,0.93,0.9,5500,0.665006,5.13,796,1,0,0.622,1.477,0.28,0,0
Kepler-1124 b,Terran,non-habitable,1.98,1.28,0.95,1.21,1.25,564.7,564.7,564.7,1.9,2.85,0.0277,0.03,Kepler-1124,Lyra,M,0.35,0.34,3658,0.01857,3.39,177,1,0,0.111,0.286,0.34,0,0
Kepler-1125 b,Superterran,non-habitable,7.38,1.84,1.19,2.19,2,672.5,672.5,672.5,8.8,17.67,0.1305,0.13,Kepler-1125,Cygnus,G,0.95,0.94,5683,0.826906,4.17,910,1,0,0.686,1.621,0.29,0,0
Kepler-1126 b,Superterran,non-habitable,5.82,1.72,1.13,1.95,1.84,374.6,374.6,374.6,6.6,108.59,0.4332,0.43,Kepler-1126,Lyra,G,0.92,0.93,5798,0.876937,5.5,668,1,0,0.702,1.653,0.51,0,0
Kepler-1127 b,Superterran,non-habitable,9.51,1.96,1.26,2.47,2.2,1014.6,1014.6,1014.6,12,5.12,0.0576,0.06,Kepler-1127,Cygnus,G,0.97,0.95,5664,0.833355,4.37,996,1,0,0.69,1.63,0.26,0,0
Kepler-1128 b,Neptunian,non-habitable,9.66,3.65,0.2,0.72,1.63,426.4,426.4,426.4,1.9,61.62,0.299,0.3,Kepler-1128,Cygnus,G,0.94,0.91,5543,0.701378,4.57,1163,1,0,0.637,1.512,0.32,0,0
Kepler-1129 b,Neptunian,non-habitable,5.04,2.96,0.19,0.58,1.3,634.2,634.2,634.2,1,24.34,0.1643,0.16,Kepler-1129,Lyra,G,1,1,5831,1.037199,4.07,1258,2,0,0.762,1.792,0.24,0,0
Kepler-1129 c,Neptunian,non-habitable,3.92,2.73,0.19,0.52,1.2,432.9,432.9,432.9,0.8,76.54,0.3527,0.35,Kepler-1129,Lyra,G,1,1,5831,1.037199,4.07,1258,2,0,0.762,1.792,0.35,0,0
Kepler-1130 b,Subterran,non-habitable,0.41,0.8,0.82,0.65,0.72,886.3,886.3,886.3,0.3,5.45,0.0585,0.06,Kepler-1130,Lyra,G,0.9,0.81,5403,0.501649,1.58,234,1,0,0.543,1.294,0.3,0,0
Kepler-1131 b,Superterran,non-habitable,4.31,1.59,1.07,1.7,1.65,1228.9,1228.9,1228.9,4.6,3.53,0.0458,0.05,Kepler-1131,Cygnus,G,1.03,1.04,5851,1.137305,4.17,1109,1,0,0.797,1.874,0.28,0,0
Kepler-1132 b,Superterran,non-habitable,20.36,2.35,1.57,3.68,2.94,391.6,391.6,391.6,31.9,62.89,0.2954,0.3,Kepler-1132,Draco,K,0.87,0.83,5298,0.486961,4.57,940,1,0,0.538,1.287,0.43,0,0
Kepler-1133 b,Superterran,non-habitable,9.72,1.97,1.27,2.5,2.22,745.6,745.6,745.6,12.3,11.56,0.0976,0.1,Kepler-1133,Cygnus,G,0.93,0.9,5569,0.699011,4.07,821,1,0,0.635,1.506,0.27,0,0
Kepler-1134 b,Neptunian,non-habitable,3.52,2.64,0.19,0.5,1.15,598.3,598.3,598.3,0.7,17.13,0.1227,0.12,Kepler-1134,Cygnus,K,0.84,0.81,5281,0.457851,4.9,997,1,0,0.522,1.25,0.27,0,0
Kepler-1135 b,Superterran,non-habitable,7.56,1.85,1.2,2.21,2.02,409.2,409.2,409.2,9,76.96,0.3492,0.35,Kepler-1135,Lyra,G,0.96,0.94,5656,0.811303,4.47,728,1,0,0.681,1.61,0.44,0,0
Kepler-1136 b,Superterran,non-habitable,4.77,1.64,1.09,1.78,1.71,930.3,930.3,930.3,5.2,2.36,0.0311,0.03,Kepler-1136,Lyra,K,0.72,0.68,4512,0.171943,3.24,545,1,0,0.331,0.818,0.28,0,0
Kepler-1137 b,Superterran,non-habitable,15.1,2.2,1.43,3.13,2.62,944.1,944.1,944.1,21.6,23.92,0.1859,0.19,Kepler-1137,Cygnus,F,1.5,1.84,6807,6.521514,1.58,971,1,0,1.804,4.171,0.25,0,0
Kepler-1138 b,Superterran,non-habitable,5.54,1.7,1.12,1.91,1.8,1158.7,1158.7,1158.7,6.2,3.17,0.0415,0.04,Kepler-1138,Draco,G,0.95,0.92,5582,0.737267,4.37,1101,1,0,0.652,1.544,0.27,0,0
Kepler-1139 b,Terran,non-habitable,1.54,1.19,0.92,1.1,1.14,1806.5,1806.5,1806.5,1.4,0.81,0.0167,0.02,Kepler-1139,Lyra,G,0.94,0.91,5550,0.704928,4.47,555,1,0,0.639,1.514,0.29,0,0
Kepler-1140 b,Neptunian,non-habitable,4.08,2.77,0.19,0.53,1.21,473.5,473.5,473.5,0.8,24.09,0.1489,0.15,Kepler-1140,Lyra,K,0.76,0.73,4850,0.264547,5.01,657,1,0,0.406,0.987,0.32,0,0
Kepler-1141 b,Subterran,non-habitable,0.45,0.82,0.82,0.67,0.74,1419,1419,1419,0.4,2.34,0.0346,0.03,Kepler-1141,Cygnus,G,1.01,1.07,5791,1.155239,6.17,365,1,0,0.806,1.898,0.29,0,0
Kepler-1142 b,Terran,non-habitable,3.22,1.47,1.02,1.5,1.48,669.6,669.6,669.6,3.3,18.3,0.1345,0.13,Kepler-1142,Cygnus,G,0.97,0.96,5685,0.863683,5.37,697,1,0,0.701,1.657,0.31,0,0
Kepler-1143 b,Superterran,non-habitable,5.14,1.67,1.11,1.85,1.76,1016.4,1016.4,1016.4,5.7,2.89,0.037,0.04,Kepler-1143,Lyra,K,0.81,0.77,5053,0.346792,4.79,632,2,1,0.46,1.11,0.28,0,0
Kepler-1143 c,Neptunian,non-habitable,9.22,3.6,0.2,0.71,1.6,243.3,243.3,243.3,1.8,210.63,0.6457,0.65,Kepler-1143,Lyra,K,0.81,0.77,5053,0.346792,4.79,632,2,1,0.46,1.11,0.6,0,0
Kepler-1144 b,Superterran,non-habitable,10.17,1.99,1.28,2.56,2.26,691.4,691.4,691.4,13.1,17.15,0.1292,0.13,Kepler-1144,Cygnus,G,0.98,0.96,5753,0.905753,3.98,1012,1,0,0.715,1.686,0.28,0,0
Kepler-1145 b,Terran,non-habitable,2.73,1.4,0.99,1.39,1.4,908,908,908,2.7,3.97,0.0454,0.05,Kepler-1145,Cygnus,K,0.79,0.75,5064,0.331885,4.79,714,1,0,0.45,1.085,0.29,0,0
Kepler-1146 b,Terran,non-habitable,1.75,1.23,0.94,1.15,1.19,978.3,978.3,978.3,1.6,2.35,0.0313,0.03,Kepler-1146,Lyra,K,0.74,0.7,4692,0.213068,4.9,694,1,0,0.366,0.898,0.3,0,0
Kepler-1147 b,Neptunian,non-habitable,3.38,2.61,0.19,0.5,1.14,896.5,896.5,896.5,0.6,10.63,0.0973,0.1,Kepler-1147,Cygnus,G,1.09,1.14,5941,1.452572,3.8,1476,1,0,0.896,2.101,0.23,0,0
Kepler-1148 b,Superterran,non-habitable,5.4,1.69,1.12,1.89,1.79,1400.8,1400.8,1400.8,6,1.1,0.0195,0.02,Kepler-1148,Cygnus,K,0.81,0.77,5054,0.347066,4.57,682,1,0,0.46,1.11,0.27,0,0
Kepler-1149 b,Terran,non-habitable,2.97,1.43,1.01,1.44,1.44,1187.5,1187.5,1187.5,3,3.73,0.0474,0.05,Kepler-1149,Cygnus,G,1.02,1.01,5833,1.059499,3.98,1023,1,0,0.77,1.811,0.28,0,0
Kepler-1150 b,Terran,non-habitable,0.92,1.02,0.87,0.89,0.95,945.8,945.8,945.8,0.8,2.79,0.0354,0.04,Kepler-1150,Cygnus,K,0.76,0.72,4754,0.23757,4.68,373,1,0,0.386,0.943,0.3,0,0
Kepler-1151 b,Superterran,non-habitable,15.76,2.22,1.45,3.21,2.67,402.6,402.6,402.6,22.8,65.65,0.3051,0.31,Kepler-1151,Cygnus,G,0.88,0.85,5470,0.580333,4.37,763,1,0,0.582,1.384,0.42,0,0
Kepler-1152 b,Terran,non-habitable,0.56,0.87,0.84,0.73,0.8,851,851,851,0.5,1.65,0.0224,0.02,Kepler-1152,Cygnus,K,0.55,0.53,3964,0.062227,3.47,184,1,0,0.202,0.513,0.3,0,0
Kepler-1153 b,Superterran,non-habitable,5.82,1.72,1.13,1.95,1.84,1362,1362,1362,6.6,1.76,0.0276,0.03,Kepler-1153,Cygnus,G,0.91,0.88,5470,0.62202,4.57,1185,1,0,0.603,1.433,0.27,0,0
Kepler-1154 b,Superterran,non-habitable,19.94,2.34,1.55,3.64,2.92,1325.8,1325.8,1325.8,31,5.19,0.0633,0.06,Kepler-1154,Cygnus,F,1.26,1.43,6327,2.94004,2.29,1531,2,0,1.245,2.897,0.24,0,0
Kepler-1154 c,Superterran,non-habitable,20.8,2.36,1.58,3.72,2.97,1126.3,1126.3,1126.3,32.8,8.46,0.0877,0.09,Kepler-1154,Cygnus,F,1.26,1.43,6327,2.94004,2.29,1531,2,0,1.245,2.897,0.24,0,0
Kepler-1155 b,Superterran,non-habitable,10.88,2.03,1.31,2.65,2.32,577.1,577.1,577.1,14.2,33.47,0.2052,0.21,Kepler-1155,Lyra,G,1.03,1.03,5842,1.108691,3.72,987,1,0,0.787,1.851,0.3,0,0
Kepler-1156 b,Terran,non-habitable,2.23,1.32,0.97,1.28,1.3,797.9,797.9,797.9,2.2,11.9,0.102,0.1,Kepler-1156,Cygnus,G,1,1,5778,1,4.47,759,1,0,0.75,1.768,0.3,0,0
Kepler-1157 b,Terran,non-habitable,1.14,1.09,0.89,0.97,1.03,790.5,790.5,790.5,1,4.46,0.0484,0.05,Kepler-1157,Lyra,K,0.76,0.71,4679,0.21678,3.39,346,1,0,0.37,0.906,0.31,0,0
Kepler-1158 b,Superterran,non-habitable,19.94,2.34,1.55,3.64,2.92,1081.8,1081.8,1081.8,31,13.54,0.1246,0.12,Kepler-1158,Cygnus,F,1.41,1.95,6203,5.05087,2.88,1258,1,0,1.644,3.835,0.24,0,0
Kepler-1159 b,Superterran,non-habitable,20.8,2.36,1.58,3.72,2.97,760.6,760.6,760.6,32.8,22.71,0.1663,0.17,Kepler-1159,Cygnus,F,1.19,1.28,6217,2.196004,2.75,1238,1,0,1.083,2.526,0.25,0,0
Kepler-1160 b,Superterran,non-habitable,13.55,2.14,1.38,2.96,2.52,833.1,833.1,833.1,18.8,7.97,0.0759,0.08,Kepler-1160,Lyra,G,0.92,0.89,5519,0.659343,4.57,1293,1,0,0.619,1.469,0.26,0,0
Kepler-1161 b,Superterran,non-habitable,13.26,2.13,1.38,2.93,2.5,501.3,501.3,501.3,18.2,10.71,0.0797,0.08,Kepler-1161,Cygnus,K,0.59,0.57,4253,0.095372,3.39,428,1,0,0.249,0.622,0.33,0,0
Kepler-1162 b,Superterran,non-habitable,15.43,2.21,1.44,3.17,2.64,497.2,497.2,497.2,22.2,32.56,0.1919,0.19,Kepler-1162,Lyra,G,0.89,0.84,5390,0.534323,4.37,989,1,0,0.561,1.337,0.33,0,0
Kepler-1163 b,Terran,non-habitable,0.96,1.03,0.88,0.9,0.96,1220.9,1220.9,1220.9,0.8,6.12,0.0699,0.07,Kepler-1163,Cygnus,F,1.22,1.35,6302,2.579117,2.88,487,1,0,1.167,2.719,0.3,0,0
Kepler-1164 b,Terran,non-habitable,1.27,1.12,0.9,1.01,1.06,941.8,941.8,941.8,1.1,3.98,0.0465,0.05,Kepler-1164,Lyra,K,0.85,0.79,5183,0.404081,3.63,447,1,0,0.493,1.185,0.3,0,0
Kepler-1165 b,Terran,non-habitable,3.88,1.55,1.05,1.63,1.59,963.9,963.9,963.9,4.1,9.48,0.0913,0.09,Kepler-1165,Lyra,F,1.13,1.18,6080,1.707136,3.24,1081,1,0,0.963,2.252,0.28,0,0
Kepler-1166 b,Superterran,non-habitable,5.4,1.69,1.12,1.89,1.79,503.9,503.9,503.9,6,33.24,0.1953,0.2,Kepler-1166,Cygnus,G,0.9,0.86,5446,0.58371,4.9,648,1,0,0.585,1.391,0.35,0,0
Kepler-1167 b,Superterran,non-habitable,5.68,1.71,1.13,1.93,1.82,1409.6,1409.6,1409.6,6.4,1,0.0181,0.02,Kepler-1167,Cygnus,K,0.79,0.75,4971,0.308168,4.27,811,1,0,0.435,1.054,0.27,0,0
Kepler-1168 b,Superterran,non-habitable,26.81,2.5,1.72,4.3,3.28,394.2,394.2,394.2,46.1,55.82,0.2728,0.27,Kepler-1168,Lyra,K,0.87,0.82,5157,0.426684,4.27,911,1,0,0.508,1.22,0.42,0,0
Kepler-1169 b,Terran,non-habitable,0.71,0.94,0.85,0.8,0.87,1142.2,1142.2,1142.2,0.6,6.11,0.0703,0.07,Kepler-1169,Cygnus,F,1.24,1.23,6191,1.994083,1.38,538,1,0,1.033,2.412,0.3,0,0
Kepler-1170 b,Superterran,non-habitable,22.64,2.41,1.62,3.9,3.07,671.3,671.3,671.3,36.7,9.99,0.0843,0.08,Kepler-1170,Cygnus,K,0.8,0.76,5069,0.342142,4.9,911,1,0,0.457,1.101,0.26,0,0
Kepler-1171 b,Neptunian,non-habitable,3.15,2.55,0.19,0.48,1.11,2542.7,2542.7,2542.7,0.6,1.44,0.0291,0.03,Kepler-1171,Cygnus,F,1.58,1.95,7044,8.399171,1.35,615,1,0,2.023,4.668,0.23,0,0
Kepler-1172 b,Neptunian,non-habitable,6.39,3.19,0.2,0.63,1.42,565.6,565.6,565.6,1.3,26.02,0.1671,0.17,Kepler-1172,Lyra,G,0.92,0.89,5558,0.678179,4.37,1292,1,0,0.626,1.484,0.25,0,0
Kepler-1173 b,Terran,non-habitable,0.58,0.88,0.84,0.74,0.81,1677.4,1677.4,1677.4,0.5,0.77,0.0156,0.02,Kepler-1173,Cygnus,K,0.86,0.82,5252,0.459004,4.79,402,1,0,0.524,1.255,0.29,0,0
Kepler-1174 b,Superterran,non-habitable,4.31,1.59,1.07,1.7,1.65,996.2,996.2,996.2,4.6,6.89,0.0718,0.07,Kepler-1174,Lyra,G,1.04,1.04,5936,1.204847,3.55,829,1,0,0.816,1.915,0.28,0,0
Kepler-1175 b,Neptunian,non-habitable,5.22,2.99,0.2,0.58,1.32,482.8,482.8,482.8,1,37.95,0.2133,0.21,Kepler-1175,Cygnus,G,0.9,0.86,5453,0.586717,4.17,1244,1,0,0.586,1.394,0.3,0,0
Kepler-1176 b,Superterran,non-habitable,24.64,2.45,1.67,4.09,3.17,642.4,642.4,642.4,41.1,24.17,0.1641,0.16,Kepler-1176,Cygnus,G,1.01,1.02,5844,1.088757,3.8,1023,1,0,0.78,1.834,0.26,0,0
Kepler-1177 b,Superterran,non-habitable,8.48,1.9,1.23,2.34,2.11,375.7,375.7,375.7,10.4,106.25,0.436,0.44,Kepler-1177,Draco,G,0.98,0.97,5712,0.898641,4.47,829,1,0,0.714,1.686,0.49,0,0
Kepler-1178 b,Terran,non-habitable,1.07,1.06,0.89,0.94,1,446.2,446.2,446.2,0.9,31.81,0.1823,0.18,Kepler-1178,Cygnus,K,0.8,0.75,4990,0.312907,4.68,336,1,0,0.438,1.06,0.43,0,0
Kepler-1179 b,Terran,non-habitable,2.23,1.32,0.97,1.28,1.3,1095.2,1095.2,1095.2,2.2,2.69,0.0357,0.04,Kepler-1179,Draco,K,0.84,0.81,5212,0.434388,4.9,454,1,0,0.511,1.225,0.29,0,0
Kepler-1180 b,Superterran,non-habitable,10.17,1.99,1.28,2.56,2.26,786.3,786.3,786.3,13.1,16.86,0.1324,0.13,Kepler-1180,Cygnus,F,1.09,1.14,6077,1.590218,3.09,1284,1,0,0.929,2.174,0.27,0,0
Kepler-1181 b,Superterran,non-habitable,4.09,1.57,1.06,1.66,1.62,1273.7,1273.7,1273.7,4.3,4.89,0.0594,0.06,Kepler-1181,Lyra,F,1.17,1.3,6176,2.206001,3.24,867,1,0,1.088,2.54,0.28,0,0
Kepler-1182 b,Superterran,non-habitable,22.64,2.41,1.62,3.9,3.07,850.3,850.3,850.3,36.7,11.17,0.0991,0.1,Kepler-1182,Cygnus,G,1.04,1.05,5924,1.218228,3.39,1258,1,0,0.821,1.927,0.25,0,0
Kepler-1183 b,Neptunian,non-habitable,4.34,2.82,0.19,0.55,1.24,591.9,591.9,591.9,0.8,28.51,0.1826,0.18,Kepler-1183,Cygnus,G,1,0.99,5765,0.971309,4.27,1378,1,0,0.74,1.744,0.26,0,0
Kepler-1184 b,Neptunian,non-habitable,3.67,2.68,0.19,0.51,1.17,513.2,513.2,513.2,0.7,53.6,0.2827,0.28,Kepler-1184,Cygnus,G,1.05,1.07,5983,1.316235,3.55,1193,1,0,0.85,1.993,0.3,0,0
Kepler-1185 b,Terran,non-habitable,2.3,1.33,0.97,1.29,1.31,353.5,353.5,353.5,2.2,104.35,0.4278,0.43,Kepler-1185,Lyra,G,0.96,0.87,5622,0.678409,1.55,296,1,0,0.624,1.476,0.58,0,0
Kepler-1186 b,Superterran,non-habitable,16.11,2.23,1.45,3.24,2.69,684.5,684.5,684.5,23.4,16.08,0.1225,0.12,Kepler-1186,Cygnus,G,0.95,0.93,5635,0.782405,4.47,1112,1,0,0.669,1.584,0.27,0,0
Kepler-1187 b,Neptunian,non-habitable,3.38,2.61,0.19,0.5,1.14,731.4,731.4,731.4,0.6,18.87,0.1414,0.14,Kepler-1187,Lyra,G,1.06,1.09,5975,1.358609,3.39,1029,1,0,0.864,2.026,0.24,0,0
Kepler-1188 b,Superterran,non-habitable,12.15,2.08,1.34,2.8,2.41,739.5,739.5,739.5,16.3,17.14,0.1318,0.13,Kepler-1188,Lyra,G,1.04,1.06,5913,1.232348,4.17,1202,1,0,0.826,1.94,0.27,0,0
Kepler-1189 b,Superterran,non-habitable,6.4,1.77,1.16,2.05,1.9,1286.7,1286.7,1286.7,7.4,3.79,0.0492,0.05,Kepler-1189,Cygnus,F,1.11,1.16,6012,1.577182,3.39,883,1,0,0.929,2.177,0.27,0,0
Kepler-1190 b,Terran,non-habitable,2.3,1.33,0.97,1.29,1.31,605.6,605.6,605.6,2.2,10.46,0.0854,0.09,Kepler-1190,Draco,K,0.76,0.72,4730,0.232809,3.98,384,1,0,0.382,0.935,0.33,0,0
Kepler-1191 b,Terran,non-habitable,3.59,1.51,1.04,1.57,1.54,871.3,871.3,871.3,3.7,5.6,0.0584,0.06,Kepler-1191,Cygnus,G,0.85,0.81,5308,0.467287,4.57,876,1,0,0.527,1.26,0.29,0,0
Kepler-1192 b,Superterran,non-habitable,20.8,2.36,1.58,3.72,2.97,546.2,546.2,546.2,32.8,25.2,0.1599,0.16,Kepler-1192,Lyra,G,0.86,0.83,5438,0.540509,4.47,1108,1,0,0.563,1.339,0.3,0,0
Kepler-1193 b,Terran,non-habitable,2.23,1.32,0.97,1.28,1.3,1429.4,1429.4,1429.4,2.2,2.83,0.0402,0.04,Kepler-1193,Cygnus,G,1.08,1.21,5908,1.600378,5.01,695,1,0,0.942,2.212,0.29,0,0
Kepler-1194 b,Terran,non-habitable,3.59,1.51,1.04,1.57,1.54,674.5,674.5,674.5,3.7,16.22,0.1228,0.12,Kepler-1194,Lyra,G,0.94,0.92,5590,0.741503,4.79,616,1,0,0.653,1.548,0.31,0,0
Kepler-1195 b,Superterran,non-habitable,12.15,2.08,1.34,2.8,2.41,679.5,679.5,679.5,16.3,8.5,0.0737,0.07,Kepler-1195,Lyra,K,0.74,0.71,4965,0.274842,4.47,812,1,0,0.411,0.996,0.28,0,0
Kepler-1196 b,Superterran,non-habitable,16.11,2.23,1.45,3.24,2.69,443.3,443.3,443.3,23.4,66.18,0.318,0.32,Kepler-1196,Cygnus,G,0.98,0.97,5756,0.926652,3.98,946,1,0,0.723,1.705,0.37,0,0
Kepler-1197 b,Terran,non-habitable,1.86,1.25,0.94,1.18,1.22,1036.2,1036.2,1036.2,1.8,2.03,0.0289,0.03,Kepler-1197,Lyra,K,0.78,0.72,4708,0.228508,2.69,505,1,0,0.379,0.928,0.29,0,0
Kepler-1198 b,Terran,non-habitable,3.22,1.47,1.02,1.5,1.48,846.2,846.2,846.2,3.3,7.68,0.0744,0.07,Kepler-1198,Cygnus,G,0.93,0.9,5517,0.673266,4.68,777,1,0,0.625,1.484,0.29,0,0
Kepler-1199 b,Terran,non-habitable,1.4,1.15,0.91,1.05,1.1,821.8,821.8,821.8,1.3,15.04,0.1168,0.12,Kepler-1199,Cygnus,G,0.94,1.17,5889,1.477161,7.76,540,1,0,0.906,2.128,0.3,0,0
Kepler-1200 b,Terran,non-habitable,1.07,1.06,0.89,0.94,1,1232,1232,1232,0.9,1.12,0.0191,0.02,Kepler-1200,Cygnus,K,0.74,0.7,4612,0.198904,3.02,579,1,0,0.355,0.873,0.3,0,0
Kepler-1201 b,Superterran,non-habitable,17.93,2.28,1.5,3.43,2.8,855.4,855.4,855.4,26.9,15.19,0.1257,0.13,Kepler-1201,Cygnus,F,1.15,1.24,6177,2.00837,2.95,1202,1,0,1.038,2.423,0.25,0,0
Kepler-1202 b,Neptunian,non-habitable,4.92,2.93,0.19,0.57,1.29,609.6,609.6,609.6,1,28.69,0.1852,0.19,Kepler-1202,Cygnus,G,1.03,1.04,5834,1.124145,4.17,1393,1,0,0.793,1.866,0.25,0,0
Kepler-1203 b,Terran,non-habitable,1.07,1.06,0.89,0.94,1,1299.5,1299.5,1299.5,0.9,0.59,0.0118,0.01,Kepler-1203,Cygnus,K,0.64,0.61,4105,0.094799,3.47,269,1,0,0.249,0.627,0.29,0,0
Kepler-1204 b,Neptunian,non-habitable,5.53,3.05,0.2,0.6,1.35,420.5,420.5,420.5,1.1,85.74,0.3842,0.38,Kepler-1204,Lyra,G,1.03,1.03,5825,1.095842,4.27,1282,1,0,0.783,1.843,0.35,0,0
Kepler-1205 b,Terran,non-habitable,2.81,1.41,1,1.41,1.41,1488.4,1488.4,1488.4,2.8,1.08,0.0194,0.02,Kepler-1205,Lyra,K,0.84,0.81,5226,0.439074,4.9,766,1,0,0.513,1.23,0.28,0,0
Kepler-1206 b,Superterran,non-habitable,4.77,1.64,1.09,1.78,1.71,1294.2,1294.2,1294.2,5.2,1.22,0.0207,0.02,Kepler-1206,Cygnus,K,0.8,0.75,4877,0.285511,3.55,807,1,0,0.421,1.023,0.27,0,0
Kepler-1207 b,Superterran,non-habitable,4.65,1.62,1.09,1.76,1.69,794,794,794,5.1,13.68,0.1141,0.11,Kepler-1207,Cygnus,G,1.06,1.06,5909,1.229016,3.63,946,1,0,0.825,1.938,0.29,0,0
Kepler-1208 b,Superterran,non-habitable,19.11,2.32,1.53,3.55,2.87,639.7,639.7,639.7,29.3,11.09,0.0903,0.09,Kepler-1208,Cygnus,K,0.8,0.76,5001,0.324149,4.47,877,1,0,0.446,1.078,0.27,0,0
Kepler-1209 b,Terran,non-habitable,3.59,1.51,1.04,1.57,1.54,756.1,756.1,756.1,3.7,25.37,0.181,0.18,Kepler-1209,Cygnus,F,1.23,1.38,6210,2.541058,3.09,558,1,0,1.165,2.718,0.3,0,0
Kepler-1210 b,Superterran,non-habitable,5.54,1.7,1.12,1.91,1.8,848,848,848,6.2,8.07,0.0771,0.08,Kepler-1210,Cygnus,G,0.94,0.92,5568,0.729898,5.13,1155,1,0,0.649,1.539,0.28,0,0
Kepler-1211 b,Superterran,non-habitable,3.1,2.54,0.19,0.48,1.11,788.9,788.9,788.9,0.6,11.02,0.0956,0.1,Kepler-1211,Lyra,G,0.96,0.94,5705,0.839785,4.17,1486,1,0,0.691,1.631,0.24,0,0
Kepler-1212 b,Superterran,non-habitable,13.55,2.14,1.38,2.96,2.52,857.5,857.5,857.5,18.8,12.94,0.1113,0.11,Kepler-1212,Cygnus,F,1.1,1.15,6051,1.590721,3.24,1304,1,0,0.931,2.179,0.26,0,0
Kepler-1213 b,Terran,non-habitable,1.54,1.19,0.92,1.1,1.14,1173.5,1173.5,1173.5,1.4,5.35,0.0625,0.06,Kepler-1213,Cygnus,F,1.14,1.21,6050,1.759876,3.47,685,1,0,0.979,2.292,0.29,0,0
Kepler-1214 b,Superterran,non-habitable,20.8,2.36,1.58,3.72,2.97,558.6,558.6,558.6,32.8,18.83,0.1312,0.13,Kepler-1214,Draco,K,0.85,0.8,5130,0.397685,4.68,757,1,0,0.491,1.181,0.29,0,0
Kepler-1215 b,Terran,non-habitable,1.7,1.22,0.93,1.14,1.18,1023.1,1023.1,1023.1,1.6,4.77,0.0545,0.05,Kepler-1215,Cygnus,G,0.95,0.93,5616,0.771906,4.79,701,1,0,0.666,1.576,0.29,0,0
Kepler-1216 b,Terran,non-habitable,2.65,1.39,0.99,1.38,1.38,1098,1098,1098,2.6,4.37,0.0521,0.05,Kepler-1216,Lyra,G,0.99,0.98,5743,0.93734,4.07,1124,1,0,0.728,1.717,0.29,0,0
Kepler-1217 b,Superterran,non-habitable,10.17,1.99,1.28,2.56,2.26,1512.4,1512.4,1512.4,13.1,2.03,0.032,0.03,Kepler-1217,Cygnus,G,1.06,1.08,5905,1.27238,3.8,1363,1,0,0.84,1.973,0.26,0,0
Kepler-1218 b,Terran,non-habitable,2.97,1.43,1.01,1.44,1.44,689.9,689.9,689.9,3,22.92,0.161,0.16,Kepler-1218,Cygnus,G,1.06,1.1,5986,1.393869,3.8,667,1,0,0.875,2.051,0.31,0,0
